"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,1242.96281,17101.49751,205.03955,NaN,NaN,NaN,24131.76164,NaN
2,1,6510.61167,30995.60051,244.18193,NaN,NaN,NaN,43198.80658,NaN
3,1,9281.99795,6343.86027,222.50047,NaN,NaN,NaN,499413.04305,NaN
4,1,9690.40718,30585.92146,271.69805,NaN,NaN,NaN,18510.50922,NaN
5,1,14977.86799,30792.3703,178.11829,NaN,NaN,NaN,32337.51198,NaN
6,1,15823.09708,33914.16309,188.27575,NaN,NaN,NaN,38219.52942,NaN
7,1,16337.60577,34662.02693,233.50437,NaN,NaN,NaN,61000.97188,NaN
8,1,17632.31433,27243.75266,168.10268,NaN,NaN,NaN,11928.61265,NaN
9,1,19018.42339,30922.19748,176.07579,NaN,NaN,NaN,12926.0203,NaN
10,1,20499.92085,39983.16152,316.10451,NaN,NaN,NaN,8082.77184,NaN
11,1,22445.0609,32591.94682,158.78108,NaN,NaN,NaN,15764.35681,NaN
12,1,22963.35218,37432.07843,240.78092,NaN,NaN,NaN,46236.70315,NaN
13,1,23924.16306,29005.179,218.85356,NaN,NaN,NaN,20743.41676,NaN
14,1,30805.62727,26362.91219,213.25274,NaN,NaN,NaN,21175.86773,NaN
15,1,32441.3262,4819.4872,214.68501,NaN,NaN,NaN,31860.9879,NaN
16,1,32578.14206,5877.16909,205.55121,NaN,NaN,NaN,40625.57118,NaN
17,1,34345.99718,20053.1573,526.49032,NaN,NaN,NaN,5552.62662,NaN
18,1,36685.52381,28914.48938,200.76213,NaN,NaN,NaN,30499.26059,NaN
19,1,39341.84471,28580.27253,231.62484,NaN,NaN,NaN,9414.46096,NaN
